style_id,rule,article_index,clip_loo_sim,clip_threshold_full,clip_pair_max,clip_pass_full,clip_threshold_heldout,clip_pass_heldout,dinov2_loo_sim,dinov2_threshold_full,dinov2_pair_max,dinov2_pass_full,dinov2_threshold_heldout,dinov2_pass_heldout,joint_pass_full,joint_pass_heldout
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,6,0.9389736205339432,0.9664748013019562,0.984673023223877,true,0.9648241758346557,true,0.837495606392622,0.9041306674480438,0.9485378861427307,true,0.9019090354442597,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,7,0.934057891368866,0.9664748013019562,0.984673023223877,true,0.9682974815368652,true,0.8531020246446133,0.9041306674480438,0.9485378861427307,true,0.9007248222827912,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,8,0.9155408143997192,0.9664748013019562,0.984673023223877,true,0.9682974815368652,true,0.8313350714743137,0.9041306674480438,0.9485378861427307,true,0.9089481234550476,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,9,0.9468287453055382,0.9664748013019562,0.984673023223877,true,0.9662846922874451,true,0.867706585675478,0.9041306674480438,0.9485378861427307,true,0.8952787280082704,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,10,0.9266622923314571,0.9664748013019562,0.984673023223877,true,0.9682974815368652,true,0.7444705590605736,0.9041306674480438,0.9485378861427307,true,0.9089481234550476,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,11,0.9469267651438713,0.9664748013019562,0.984673023223877,true,0.9642793774604798,true,0.8384162224829197,0.9041306674480438,0.9485378861427307,true,0.9054452538490295,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,12,0.9138466939330101,0.9664748013019562,0.984673023223877,true,0.9682974815368652,true,0.7513682544231415,0.9041306674480438,0.9485378861427307,true,0.9089481234550476,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,13,0.9435748048126698,0.9664748013019562,0.984673023223877,true,0.9644687950611115,true,0.8062175996601582,0.9041306674480438,0.9485378861427307,true,0.9089481234550476,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,14,0.938899002969265,0.9664748013019562,0.984673023223877,true,0.9667161345481873,true,0.8492671400308609,0.9041306674480438,0.9485378861427307,true,0.9017184615135193,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,15,0.8963196128606796,0.9664748013019562,0.984673023223877,true,0.9682974815368652,true,0.7645022533833981,0.9041306674480438,0.9485378861427307,true,0.9089481234550476,true,true,true
Ladieswear || Sweater || Knitwear || Beige || Melange,p90,16,0.9150039851665497,0.9664748013019562,0.984673023223877,true,0.9682974815368652,true,0.8293368630111217,0.9041306674480438,0.9485378861427307,true,0.9037300884723664,true,true,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,0,0.9159834658106168,0.9119338691234589,0.9845765233039856,false,0.9119338691234589,false,0.7571299982567629,0.7124389111995697,0.9052655696868896,false,0.7083002924919128,false,false,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,1,0.9118321562806765,0.9119338691234589,0.9845765233039856,true,0.9119338691234589,true,0.746020719408989,0.7124389111995697,0.9052655696868896,false,0.7083002924919128,false,false,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,2,0.9345624670386314,0.9119338691234589,0.9845765233039856,false,0.909856915473938,false,0.5557260401546955,0.7124389111995697,0.9052655696868896,true,0.7219091653823853,true,false,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,3,0.9181182558337847,0.9119338691234589,0.9845765233039856,false,0.9114769101142883,false,0.7252573892474174,0.7124389111995697,0.9052655696868896,false,0.7083002924919128,false,false,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,4,0.9251121530930201,0.9119338691234589,0.9845765233039856,false,0.9116466045379639,false,0.7771797267099222,0.7124389111995697,0.9052655696868896,false,0.7047853171825409,false,false,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,5,0.9047839567065239,0.9119338691234589,0.9845765233039856,true,0.9143169522285461,true,0.6849197347958883,0.7124389111995697,0.9052655696868896,true,0.7157134115695953,true,true,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,6,0.8986800288160642,0.9119338691234589,0.9845765233039856,true,0.9139934778213501,true,0.6407651044428349,0.7124389111995697,0.9052655696868896,true,0.7174027860164642,true,true,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,7,0.9055730129281679,0.9119338691234589,0.9845765233039856,true,0.9120050072669983,true,0.6643336315949758,0.7124389111995697,0.9052655696868896,true,0.7163891196250916,true,true,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,8,0.9217901900410652,0.9119338691234589,0.9845765233039856,false,0.9105880558490753,false,0.7238455365101496,0.7124389111995697,0.9052655696868896,false,0.7100440859794617,false,false,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,9,0.8971918026606241,0.9119338691234589,0.9845765233039856,true,0.9136698246002197,true,0.7023813078800837,0.7124389111995697,0.9052655696868896,true,0.7144365906715393,true,true,true
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,10,0.9292221342523893,0.9119338691234589,0.9845765233039856,false,0.9101381003856659,false,0.7070349603891373,0.7124389111995697,0.9052655696868896,true,0.7131103277206421,true,false,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,11,0.9127408986290296,0.9119338691234589,0.9845765233039856,false,0.9119338691234589,false,0.6933265899618467,0.7124389111995697,0.9052655696868896,true,0.7144365906715393,true,false,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,12,0.9195941562453905,0.9119338691234589,0.9845765233039856,false,0.9116466045379639,false,0.738654668132464,0.7124389111995697,0.9052655696868896,false,0.7090924382209778,false,false,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,13,0.9108471994598707,0.9119338691234589,0.9845765233039856,true,0.9120050072669983,true,0.7597341487805048,0.7124389111995697,0.9052655696868896,false,0.7071630954742432,false,false,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,14,0.9009302482008934,0.9119338691234589,0.9845765233039856,true,0.9139934778213501,true,0.7284602833290895,0.7124389111995697,0.9052655696868896,false,0.7114130258560181,false,false,false
Ladieswear || Dress || Dresses Ladies || Red || Solid,median,15,0.896533211072286,0.9119338691234589,0.9845765233039856,true,0.9136698246002197,true,0.7426867311199506,0.7124389111995697,0.9052655696868896,false,0.7061515748500824,false,false,false
