term,week_start,value
black sweater,2020-06-29,16.0
black sweater,2020-07-06,17.0
black sweater,2020-07-13,17.0
black sweater,2020-07-20,18.0
black sweater,2020-07-27,18.0
black sweater,2020-08-03,19.0
black sweater,2020-08-10,20.0
black sweater,2020-08-17,20.0
black sweater,2020-08-24,24.0
black sweater,2020-08-31,26.0
black sweater,2020-09-07,30.0
black sweater,2020-09-14,33.0
black sweater,2020-09-21,36.0
black sweater,2020-09-28,39.0
blue trousers,2018-08-27,89.0
blue trousers,2018-09-03,87.0
blue trousers,2018-09-10,79.0
blue trousers,2018-09-17,78.0
blue trousers,2018-09-24,67.0
blue trousers,2018-10-01,75.0
blue trousers,2018-10-08,83.0
blue trousers,2018-10-15,81.0
blue trousers,2018-10-22,71.0
blue trousers,2018-10-29,81.0
blue trousers,2018-11-05,77.0
blue trousers,2018-11-12,80.0
blue trousers,2018-11-19,80.0
blue trousers,2018-11-26,78.0
blue trousers,2018-12-03,79.0
blue trousers,2018-12-10,74.0
blue trousers,2018-12-17,58.0
blue trousers,2018-12-24,79.0
blue trousers,2018-12-31,66.0
blue trousers,2019-01-07,71.0
blue trousers,2019-01-14,75.0
blue trousers,2019-01-21,72.0
blue trousers,2019-01-28,76.0
blue trousers,2019-02-04,74.0
blue trousers,2019-02-11,77.0
blue trousers,2019-02-18,73.0
blue trousers,2019-02-25,80.0
blue trousers,2019-03-04,81.0
blue trousers,2019-03-11,85.0
blue trousers,2019-03-18,83.0
blue trousers,2019-03-25,79.0
blue trousers,2019-04-01,84.0
blue trousers,2019-04-08,84.0
blue trousers,2019-04-15,89.0
blue trousers,2019-04-22,86.0
blue trousers,2019-04-29,84.0
blue trousers,2019-05-06,87.0
blue trousers,2019-05-13,93.0
blue trousers,2019-05-20,92.0
blue trousers,2019-05-27,92.0
blue trousers,2019-06-03,92.0
blue trousers,2019-06-10,95.0
blue trousers,2019-06-17,90.0
blue trousers,2019-06-24,96.0
blue trousers,2019-07-01,100.0
blue trousers,2019-07-08,90.0
blue trousers,2019-07-15,100.0
blue trousers,2019-07-22,84.0
blue trousers,2019-07-29,81.0
blue trousers,2019-08-05,92.0
blue trousers,2019-08-12,89.0
blue trousers,2019-08-19,89.0
blue trousers,2019-08-26,85.0
blue trousers,2019-09-02,94.0
blue trousers,2019-09-09,84.0
blue trousers,2019-09-16,87.0
blue trousers,2019-09-23,76.0
blue trousers,2019-09-30,80.0
blue trousers,2019-10-07,83.0
blue trousers,2019-10-14,83.0
blue trousers,2019-10-21,81.0
blue trousers,2019-10-28,74.0
