comparator,metric,n_paired,mean_diff,ci_lo,ci_hi,ci_half_width,se_block,ess_ac,ess_boot,mde_80,excludes_zero
global_mean,tolerance_hit_at_3,48,0.13194444444444442,0.020833333333333332,0.2986111111111111,0.1388888888888889,0.07134147757861248,12.739193456396842,11.834792625780262,0.19986922902257848,true
random_floor,hit_at_3_in_top20,48,0.425,0.40902777777777777,0.6069965277777775,0.09898437499999985,0.04964328865155732,18.530097061446533,47.992021966933635,0.13907990366471826,true
random_floor,hit_at_3_in_top10,48,0.2736111111111111,0.20694444444444446,0.48611979166666663,0.13958767361111107,0.07161204582962329,13.185605770496771,15.721533766121071,0.20062724903510104,true
random_floor,precision_at_3,48,0.04618055555555555,0.011458333333333333,0.1017447916666666,0.04514322916666663,0.024656493616361914,32.65153806526126,31.09428219997381,0.0690772680460963,true
random_floor,precision_at_10,48,0.16520833333333332,0.1363515625,0.2562526041666667,0.05995052083333334,0.03081500935963692,14.21623872066597,17.441313925518468,0.08633087471797156,true
random_floor,ndcg_at_10,48,0.46625904024362236,0.4595167076618744,0.5066648708818778,0.023574081610001713,0.011828359454052261,11.550753342835579,32.074171715330195,0.0331381570009996,true
random_floor,spearman_rho,48,0.7096330261964692,0.6393195718808885,0.7795014951621149,0.07009096164061318,0.03583196660618485,5.617832429945652,8.728480552680196,0.10038630797980498,true
random_floor,wmape,48,-0.3187835228666011,-0.35655938955346317,-0.30062497399097665,0.02796720778124326,0.014236240479881593,7.497811355873856,12.967943701511714,0.039884040889937744,true
random_floor,demand_capture_at_3,48,0.48533092619653195,0.436448275836291,0.5961156147068306,0.07983366943526982,0.040368143786379866,10.86217746710024,18.010411594372044,0.1130947949145807,true
random_floor,demand_capture_at_10,48,0.49756765250923096,0.4665892931028134,0.5827484656662204,0.05807958628170351,0.02872698808232155,10.401519059387732,22.7045567289027,0.08048110517233946,true
random_floor,demand_capture_at_20,48,0.49955787717920686,0.45714831462474503,0.5832541758326997,0.06305293060397732,0.031221578838986325,9.35964892887063,20.032868430892677,0.08746991376145274,true
random_floor,tolerance_hit_at_3,48,0.12951388888888887,0.01909722222222222,0.29480034722222215,0.13785156249999997,0.0707212542342528,12.866647339704521,11.944983472225777,0.1981316204690918,true
