challenger,metric,n_paired,mean_diff,ci_lo,ci_hi,se,p_two_sided,identical
b1_shuffle,demand_capture_at_3,48,-0.013908314250444836,-0.036460707419012695,0.006105924451510933,0.011338238753476556,0.24287856071964017,false
b1_shuffle,demand_capture_at_10,48,0.0049482866898443445,-0.0050752666055777695,0.018128761656958446,0.006152456084581344,0.48375812093953025,false
b1_shuffle,demand_capture_at_20,48,0.006673916104988035,-0.000724999153340591,0.014476984149893297,0.0038804296205269696,0.07896051974012994,false
b1_shuffle,tolerance_hit_at_3,48,-0.013888888888888888,-0.048611111111111105,0.020833333333333332,0.01810209972884208,0.5817091454272864,false
b1_random,hit_at_3_in_top20,48,0.01388888888888889,-0.03472222222222222,0.06944444444444445,0.028084854410362344,0.6446776611694153,false
b1_random,hit_at_3_in_top10,48,-0.006944444444444444,-0.0625,0.0625,0.035095637430041994,0.8845577211394303,false
b1_random,precision_at_3,48,-0.006944444444444444,-0.027777777777777776,0.013888888888888888,0.012237458274607446,0.7706146926536732,false
b1_random,precision_at_10,48,-0.00416666666666667,-0.027083333333333334,0.020833333333333325,0.0122078021883939,0.7066466766616691,false
b1_random,ndcg_at_10,48,-0.0032954620247220103,-0.011337125068629985,0.00411083816265252,0.004029115795957924,0.4447776111944028,false
b1_random,spearman_rho,48,-0.0008774443156779795,-0.0024321080463985036,0.0006963920384312495,0.0008281694376657328,0.29985007496251875,false
b1_random,wmape,48,0.0002516701908345468,-0.0002163452852237613,0.00072205387411217,0.0002354783040737991,0.2748625687156422,false
b1_random,demand_capture_at_3,48,-0.004356906223349959,-0.027790058766454927,0.025455779751426984,0.014505632755316012,0.7436281859070465,false
b1_random,demand_capture_at_10,48,-0.003898690602014986,-0.013262124451925364,0.006041348660337859,0.004963677655879736,0.45077461269365315,false
b1_random,demand_capture_at_20,48,0.00881231675638825,0.0015626447967101679,0.01764408380923165,0.00428454954229379,0.010994502748625687,false
