term,week_start,value
Belt (clothing),2020-04-20,1368
Belt (clothing),2020-04-27,1350
Belt (clothing),2020-05-04,1272
Belt (clothing),2020-05-11,1167
Belt (clothing),2020-05-18,1221
Belt (clothing),2020-05-25,1046
Belt (clothing),2020-06-01,1078
Belt (clothing),2020-06-08,1125
Belt (clothing),2020-06-15,1055
Belt (clothing),2020-06-22,956
Belt (clothing),2020-06-29,1026
Belt (clothing),2020-07-06,1010
Belt (clothing),2020-07-13,1125
Belt (clothing),2020-07-20,1092
Belt (clothing),2020-07-27,1174
Belt (clothing),2020-08-03,1151
Belt (clothing),2020-08-10,1216
Belt (clothing),2020-08-17,1192
Belt (clothing),2020-08-24,1278
Belt (clothing),2020-08-31,1255
Belt (clothing),2020-09-07,1290
Belt (clothing),2020-09-14,1453
Belt (clothing),2020-09-21,1255
Bikini,2018-09-03,10051
Bikini,2018-09-10,10016
Bikini,2018-09-17,9172
Bikini,2018-09-24,8095
Bikini,2018-10-01,8194
Bikini,2018-10-08,8832
Bikini,2018-10-15,7873
Bikini,2018-10-22,7972
Bikini,2018-10-29,7896
Bikini,2018-11-05,8243
Bikini,2018-11-12,8154
Bikini,2018-11-19,7802
Bikini,2018-11-26,8212
Bikini,2018-12-03,8102
Bikini,2018-12-10,7128
Bikini,2018-12-17,7253
Bikini,2018-12-24,7538
Bikini,2018-12-31,8046
Bikini,2019-01-07,7956
Bikini,2019-01-14,8406
Bikini,2019-01-21,7725
Bikini,2019-01-28,7309
Bikini,2019-02-04,7193
Bikini,2019-02-11,7500
Bikini,2019-02-18,81923
Bikini,2019-02-25,8565
Bikini,2019-03-04,8392
Bikini,2019-03-11,9060
Bikini,2019-03-18,9105
Bikini,2019-03-25,8828
Bikini,2019-04-01,10486
Bikini,2019-04-08,8900
Bikini,2019-04-15,8462
Bikini,2019-04-22,8304
Bikini,2019-04-29,9835
Bikini,2019-05-06,8159
Bikini,2019-05-13,8589
Bikini,2019-05-20,10238
Bikini,2019-05-27,10011
Bikini,2019-06-03,9815
Bikini,2019-06-10,15561
Bikini,2019-06-17,10794
Bikini,2019-06-24,9770
Bikini,2019-07-01,14704
Bikini,2019-07-08,9730
Bikini,2019-07-15,9637
Bikini,2019-07-22,9043
Bikini,2019-07-29,7699
Bikini,2019-08-05,7807
Bikini,2019-08-12,7901
Bikini,2019-08-19,7399
Bikini,2019-08-26,7347
Bikini,2019-09-02,9784
Bikini,2019-09-09,8403
Bikini,2019-09-16,8384
Bikini,2019-09-23,8345
Bikini,2019-09-30,8821
Bikini,2019-10-07,9048
Bikini,2019-10-14,8765
Bikini,2019-10-21,8569
Bikini,2019-10-28,7999
Bikini,2019-11-04,8257
Bikini,2019-11-11,8812
Bikini,2019-11-18,7975
Bikini,2019-11-25,7833
Bikini,2019-12-02,7881
Bikini,2019-12-09,8818
Bikini,2019-12-16,8697
Bikini,2019-12-23,8205
Bikini,2019-12-30,9590
Bikini,2020-01-06,8712
Bikini,2020-01-13,8124
Bikini,2020-01-20,7881
Bikini,2020-01-27,7615
Bikini,2020-02-03,7036
Bikini,2020-02-10,6558
Bikini,2020-02-17,6683
Bikini,2020-02-24,6673
Bikini,2020-03-02,6762
Bikini,2020-03-09,6608
Bikini,2020-03-16,7123
Bikini,2020-03-23,7887
Bikini,2020-03-30,8348
Bikini,2020-04-06,8345
Bikini,2020-04-13,9179
Bikini,2020-04-20,9436
Bikini,2020-04-27,8806
Bikini,2020-05-04,8438
Bikini,2020-05-11,8836
Bikini,2020-05-18,8356
Bikini,2020-05-25,8352
Bikini,2020-06-01,7537
Bikini,2020-06-08,8251
Bikini,2020-06-15,7893
Bikini,2020-06-22,8146
Bikini,2020-06-29,12697
Bikini,2020-07-06,9962
Bikini,2020-07-13,8977
Bikini,2020-07-20,9001
Bikini,2020-07-27,8546
Bikini,2020-08-03,8801
Bikini,2020-08-10,8038
Bikini,2020-08-17,10258
Bikini,2020-08-24,8137
Bikini,2020-08-31,7566
Bikini,2020-09-07,7650
Bikini,2020-09-14,7441
Bikini,2020-09-21,7408
Black,2018-09-03,8201
Black,2018-09-10,8394
Black,2018-09-17,8478
Black,2018-09-24,8389
Black,2018-10-01,8171
Black,2018-10-08,8564
Black,2018-10-15,8332
Black,2018-10-22,8935
Black,2018-10-29,8871
Black,2018-11-05,8921
Black,2018-11-12,8743
Black,2018-11-19,8799
Black,2018-11-26,8250
Black,2018-12-03,8809
Black,2018-12-10,8952
Black,2018-12-17,7891
Black,2018-12-24,7816
Black,2018-12-31,8347
Black,2019-01-07,8531
Black,2019-01-14,8896
Black,2019-01-21,10111
Black,2019-01-28,9747
Black,2019-02-04,9506
Black,2019-02-11,10071
Black,2019-02-18,8916
Black,2019-02-25,8776
Black,2019-03-04,9226
Black,2019-03-11,9182
Black,2019-03-18,9428
Black,2019-03-25,9501
Black,2019-04-01,9502
Black,2019-04-08,12052
Black,2019-04-15,9474
Black,2019-04-22,10004
Black,2019-04-29,10066
Black,2019-05-06,9909
Black,2019-05-13,8604
Black,2019-05-20,9037
Black,2019-05-27,8972
Black,2019-06-03,9568
Black,2019-06-10,9256
Black,2019-06-17,8615
Black,2019-06-24,8229
Black,2019-07-01,8194
Black,2019-07-08,8287
Black,2019-07-15,9211
Black,2019-07-22,8346
Black,2019-07-29,8969
Black,2019-08-05,8887
Black,2019-08-12,8692
Black,2019-08-19,8739
Black,2019-08-26,9015
Black,2019-09-02,9029
Black,2019-09-09,9088
Black,2019-09-16,9416
Black,2019-09-23,9286
Black,2019-09-30,9287
Black,2019-10-07,9547
Black,2019-10-14,9577
Black,2019-10-21,9821
Black,2019-10-28,9446
Black,2019-11-04,8908
Black,2019-11-11,30826
Black,2019-11-18,9021
Black,2019-11-25,9346
Black,2019-12-02,11404
Black,2019-12-09,7942
Black,2019-12-16,21120
Black,2019-12-23,7120
Black,2019-12-30,7243
Black,2020-01-06,8973
Black,2020-01-13,9249
Black,2020-01-20,9868
Black,2020-01-27,12545
Black,2020-02-03,10275
Black,2020-02-10,10016
Black,2020-02-17,9883
Black,2020-02-24,9519
Black,2020-03-02,8679
Black,2020-03-09,8967
Black,2020-03-16,8488
Black,2020-03-23,8690
Black,2020-03-30,9214
Black,2020-04-06,9552
Black,2020-04-13,10090
Black,2020-04-20,10102
Black,2020-04-27,9665
Black,2020-05-04,9047
Black,2020-05-11,8436
Black,2020-05-18,8326
Black,2020-05-25,9348
Black,2020-06-01,18823
Black,2020-06-08,11763
Black,2020-06-15,10847
Black,2020-06-22,9854
Black,2020-06-29,8888
Black,2020-07-06,9080
Black,2020-07-13,9090
Black,2020-07-20,8613
Black,2020-07-27,8302
Black,2020-08-03,8864
Black,2020-08-10,9398
Black,2020-08-17,9737
Black,2020-08-24,12175
Black,2020-08-31,9253
Black,2020-09-07,9926
Black,2020-09-14,11971
Black,2020-09-21,12502
Blazer,2018-09-03,3093
Blazer,2018-09-10,2982
Blazer,2018-09-17,3012
Blazer,2018-09-24,2865
Blazer,2018-10-01,3459
Blazer,2018-10-08,3435
Blazer,2018-10-15,2846
Blazer,2018-10-22,2958
Blazer,2018-10-29,2980
Blazer,2018-11-05,3352
Blazer,2018-11-12,3300
Blazer,2018-11-19,3144
Blazer,2018-11-26,3436
Blazer,2018-12-03,3302
Blazer,2018-12-10,3042
Blazer,2018-12-17,2755
Blazer,2018-12-24,2835
Blazer,2018-12-31,3166
Blazer,2019-01-07,3088
Blazer,2019-01-14,3041
Blazer,2019-01-21,3151
