origin_week,method,has_52w_lag,is_covid,n_eval_set,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape,demand_capture_at_3,demand_capture_at_10,demand_capture_at_20,tolerance_hit_at_3
2020-06-01,parent_category_mean,true,true,2763,2763,0.0,0.0,0.0,0.0,0.22140552143111045,0.2715977038822836,0.20075161230149782,0.009336729971305654,0.02971720153436965,0.05293205154542519,0.0
2020-06-08,parent_category_mean,true,true,2690,2690,0.0,0.0,0.0,0.0,0.2271376293588046,0.2799951955471235,0.1956233058146152,0.009133998222573322,0.02965091600207207,0.053065491492508596,0.0
2020-06-15,parent_category_mean,true,true,2547,2547,0.0,0.0,0.0,0.0,0.2522165478261694,0.28095009064692394,0.19210473248828294,0.009447977927332726,0.03352132244485548,0.05324212165820508,0.0
2020-06-22,parent_category_mean,true,true,1978,1978,0.0,0.0,0.0,0.0,0.2510937361372162,0.22045881907746334,0.1784484832318046,0.01428230573543793,0.033682348753450345,0.04485528093034755,0.0
2019-07-29,random_floor,false,false,3037,3037,0.0,0.0,0.0,0.0,0.39736638019249265,0.0012802351449041074,0.4710052747799459,0.04916548972809502,0.08430730082930295,0.09019000059144047,0.0
2019-08-05,random_floor,false,false,3039,3039,0.0,0.0,0.0,0.0,0.3952793315893228,0.001303288697954567,0.4805347236442019,0.05872310541402327,0.08061553635905942,0.0969484861053116,0.0
2019-08-12,random_floor,false,false,3041,3041,0.0,0.0,0.0,0.01,0.3706882522792774,0.0018849178219208771,0.49815566580204973,0.05952016356111071,0.07910087758242328,0.104011927799423,0.0
2019-08-19,random_floor,false,false,3042,3042,0.0,0.0,0.0,0.0,0.38151795648622966,0.00005712635813603789,0.5024280060783665,0.058854057273872405,0.08095831412918089,0.09527765931258154,0.0
2019-08-26,random_floor,false,false,3043,3043,0.0,0.0,0.0,0.005,0.3699059926604381,-0.00035315574474530846,0.5132288004399291,0.057958394784843506,0.08027029608622667,0.08217680524354469,0.0
2019-09-02,random_floor,false,false,3043,3043,0.0,0.0,0.0,0.005,0.40305774842105385,-0.002524200747477003,0.5144918246641174,0.08226918069041214,0.09638310518781738,0.10341401818053833,0.0
2019-09-09,random_floor,false,false,3043,3043,0.0,0.0,0.0,0.005,0.3907494066734546,-0.003935031067944345,0.5145294360948361,0.07547492321633267,0.10181281210967001,0.10578463581454937,0.0
2019-09-16,random_floor,true,false,3044,3044,0.0,0.0,0.0,0.0,0.4103568341483396,0.0031214092596882014,0.5018958430410931,0.10807203891240073,0.10063268103538422,0.10741964464852458,0.0
