origin_week,is_covid,cal_first,cal_last,Q_sym,Q_lo,Q_hi,n,cov_uncalibrated,cov_cqr_symmetric,cov_cqr_asymmetric,wlog_uncalibrated,wlog_cqr_symmetric,wlog_cqr_asymmetric,wraw_uncalibrated,wraw_cqr_symmetric,wraw_cqr_asymmetric
2020-04-13,true,2019-12-23,2020-01-13,0.11900843785040716,0.14911678528729033,0.0676202530225829,2941,0.7388643318599116,0.8412104726283577,0.8347500850051003,1.382925176955027,1.6209420526558413,1.5996622152649003,11.338632418960167,13.562625335931548,12.795382009088227
2020-04-20,true,2019-12-30,2020-01-20,0.13939846179160054,0.15400681900390567,0.1195915508034171,2934,0.7205180640763463,0.8394683026584867,0.8387866394001363,1.3224587918753343,1.6012557154585354,1.596057161682657,10.92862247037299,13.775911014691879,13.492810315029889
2020-04-27,true,2020-01-06,2020-01-27,0.1638850538031651,0.1655251916597522,0.16214511886597327,2917,0.7014055536510113,0.84127528282482,0.8416181007884813,1.3335262584269425,1.6612963660332727,1.661196568952668,10.671824383132451,13.973563773609087,13.949042158597585
2020-05-04,true,2020-01-13,2020-02-03,0.19364407904586367,0.1923940997745816,0.19985566208727712,2906,0.7360633172746043,0.8874741913282863,0.8898830006882312,1.3152362460158507,1.7025244041075778,1.7074860078777092,11.335727067503042,15.479582535454213,15.589421448875132
2020-05-11,true,2020-01-20,2020-02-10,0.20722552482336543,0.20721467691869955,0.2073659252034119,2879,0.7228204237582494,0.8944077804793331,0.8944077804793331,1.2543201622705409,1.6687712119172717,1.6689007643926521,11.118481515181205,15.78429946818796,15.786907131265984
2020-05-18,true,2020-01-27,2020-02-17,0.21817804896194182,0.21873390356774625,0.2177165725958261,2855,0.7131348511383537,0.8917688266199649,0.8917688266199649,1.1897496046796392,1.6261057026035226,1.6262000808432113,11.379908027117965,16.4408665537552,16.433452854287662
2020-05-25,true,2020-02-03,2020-02-24,0.22946989327543663,0.2311280962418163,0.22562173353067694,2808,0.7297008547008547,0.9034900284900285,0.9034900284900285,1.1826114094588382,1.6415511960097118,1.6393612392313315,11.130404667792588,16.669979099798276,16.597955813236712
2020-06-01,true,2020-02-10,2020-03-02,0.2331295684395207,0.24367896872087394,0.21915292443673984,2763,0.758957654723127,0.9124140427072023,0.9113282663771263,1.2265271351667393,1.6927862720457805,1.689359028324353,11.214506385736831,16.503299792920394,16.270221000721264
2020-06-08,true,2020-02-17,2020-03-09,0.2365202583941235,0.24391150264405115,0.2268922329019163,2690,0.7650557620817844,0.9156133828996282,0.9130111524163569,1.272049881479466,1.7450903982677133,1.7428536170254336,11.487326284541352,16.948218000904667,16.76709624358232
2020-06-15,true,2020-02-24,2020-03-16,0.22730632196074874,0.21337196359846122,0.2467742517397702,2547,0.7502944640753828,0.9034157832744405,0.9049862583431488,1.2198752602591139,1.674487904180611,1.6800214755973453,12.254594226996238,17.896487638374378,18.28296812610932
2020-06-22,true,2020-03-02,2020-03-23,0.2120162876277929,0.18149989317253498,0.25596904891117367,1978,0.6845298281092013,0.8579373104145601,0.852881698685541,1.244706166377663,1.668738741633249,1.682175108461372,13.667225793177803,19.738507720051636,20.680883142648796
