season,comparator,metric,n_origins,n_both_defined,model_mean,comparator_mean,mean_diff,ci_lo,ci_hi,ess_ac,ess_boot,THIN
winter,seasonal_naive,hit_at_3_in_top10,13,13,0.17948717948717946,0.25641025641025644,-0.07692307692307693,-0.1282051282051282,0.0,12.857142857142854,13.0,false
winter,seasonal_naive,precision_at_3,13,13,0.0,0.0,0.0,0.0,0.0,13.0,13.0,false
winter,seasonal_naive,precision_at_10,13,13,0.15384615384615385,0.12307692307692311,0.03076923076923077,-0.015384615384615387,0.13076923076923078,13.0,8.814412804658508,false
winter,seasonal_naive,ndcg_at_10,13,13,0.8872285078547818,0.6630419968739992,0.22418651098078285,0.18932024107098264,0.2829881598702211,11.846646134521228,6.407504264775863,false
winter,seasonal_naive,spearman_rho,13,13,0.7194537137123569,0.4898320459554761,0.2296216677568808,0.19772338877712253,0.2674778151678304,7.418534854549283,7.235346247879879,false
winter,seasonal_naive,wmape,13,13,0.15285127942518006,0.19898759901808238,-0.046136319592902354,-0.05886480970152391,-0.033286587923942575,6.985404136497012,9.262116171483987,false
winter,ewma_persistence,hit_at_3_in_top20,13,13,0.4871794871794871,0.41025641025641024,0.07692307692307694,-0.15384615384615383,0.30769230769230776,11.836919592298983,6.4270738762727575,false
winter,ewma_persistence,hit_at_3_in_top10,13,13,0.17948717948717946,0.28205128205128205,-0.10256410256410256,-0.25641025641025644,-0.02564102564102564,13.0,6.73277412989769,false
winter,ewma_persistence,precision_at_3,13,13,0.0,0.0,0.0,0.0,0.0,13.0,13.0,false
winter,ewma_persistence,precision_at_10,13,13,0.15384615384615385,0.15384615384615388,2.135044278125301e-18,-0.09230769230769233,0.11538461538461539,5.5936254980079685,4.928702914240343,false
winter,ewma_persistence,ndcg_at_10,13,13,0.8872285078547818,0.8542278531318955,0.03300065472288644,-0.0028027574588558226,0.06138224004243516,7.857880898716548,6.926615243048432,false
