origin_week,method,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape,demand_capture_at_3,demand_capture_at_10,demand_capture_at_20,tolerance_hit_at_3,status
2019-09-30,a,0.3333333333333333,0.0,0.0,0.1,0.8731327881130069,0.6033444496061663,0.20806880196117436,0.5041708350547778,0.599671547534397,0.5806791037465312,0.0,EXPLORATORY
2019-10-07,a,0.6666666666666666,0.3333333333333333,0.0,0.2,0.8716418573701431,0.6185180272849174,0.19786836626936224,0.589286024409845,0.6037789863368701,0.5770179834211342,0.0,EXPLORATORY
2019-10-14,a,0.6666666666666666,0.3333333333333333,0.0,0.2,0.8931704405516578,0.6254105558252403,0.18968608859596886,0.5573344468993221,0.622552314636696,0.5829377135767346,0.0,EXPLORATORY
2019-10-21,a,0.6666666666666666,0.3333333333333333,0.0,0.3,0.8957197253186377,0.6780568625349709,0.1655484640423613,0.5390668042217354,0.665196201763604,0.6303676942006436,0.0,EXPLORATORY
2019-10-28,a,1.0,0.3333333333333333,0.0,0.1,0.8675776632662826,0.6965781640602429,0.1544825559130055,0.5904542141502076,0.5331200323133946,0.5932896220318545,0.0,EXPLORATORY
2019-11-04,a,1.0,0.6666666666666666,0.0,0.3,0.9032945045344669,0.6834038055067031,0.15982159194028078,0.7115488385849381,0.675977411195471,0.6506648426950619,0.3333333333333333,EXPLORATORY
2019-11-11,a,1.0,0.6666666666666666,0.0,0.3,0.9092743547728004,0.6801373680835908,0.15095895335816667,0.7227967810592154,0.6898912988262667,0.6431131004253112,0.3333333333333333,EXPLORATORY
2019-11-18,a,1.0,0.3333333333333333,0.0,0.2,0.9029447636538064,0.7427498841840436,0.12943186715787522,0.6496254743653145,0.6571678515653813,0.6809291591607743,0.0,EXPLORATORY
2019-11-25,a,0.6666666666666666,0.3333333333333333,0.0,0.3,0.9200293327925223,0.7608217886530557,0.16005866086873888,0.7359455064863584,0.728118300990379,0.6789208406942243,0.0,EXPLORATORY
2019-12-02,a,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3,0.9130573964834641,0.7470398330482991,0.12866743295151803,0.8216665975140477,0.6982100010768935,0.705740349516935,0.3333333333333333,EXPLORATORY
2019-12-09,a,0.6666666666666666,0.3333333333333333,0.0,0.2,0.8857982385428098,0.7506694406756497,0.13026172369472117,0.698798366573513,0.7045939413230953,0.7142577051313096,0.3333333333333333,EXPLORATORY
2019-12-16,a,0.6666666666666666,0.0,0.0,0.0,0.904087884428482,0.7596756391861801,0.16373026101737134,0.7396351022912937,0.6485264061408734,0.592076118595778,0.0,EXPLORATORY
2019-12-23,a,0.3333333333333333,0.0,0.0,0.0,0.8779943940208444,0.7312185558853573,0.15345625839502144,0.5105753413782553,0.591848556633535,0.5557412781684632,0.0,EXPLORATORY
2019-12-30,a,0.0,0.0,0.0,0.0,0.8654893277565882,0.7337208801921139,0.1531754646607932,0.452992704784755,0.5542397162826787,0.5481181930234674,0.0,EXPLORATORY
2020-01-06,a,0.0,0.0,0.0,0.0,0.8556868554781981,0.725675888499687,0.1553197395261673,0.4203604598818804,0.5368926506798521,0.5898707169641534,0.0,EXPLORATORY
2020-01-13,a,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2,0.8966530513972022,0.7393320692330861,0.13926266544017418,0.7545524188737014,0.6717193110994892,0.7824330260518321,0.6666666666666666,EXPLORATORY
2020-01-20,a,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3,0.8956200184983302,0.7398497122202371,0.14561828121288695,0.7519900649959279,0.6761583721146517,0.7192965690545439,0.3333333333333333,EXPLORATORY
2020-01-27,a,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3,0.9133328633292995,0.7376730843162536,0.1511520866589641,0.7102742206912347,0.6775164545061899,0.6773413233770168,0.3333333333333333,EXPLORATORY
2020-02-03,a,0.6666666666666666,0.6666666666666666,0.0,0.2,0.9090035061042844,0.733370832186785,0.16168198709545703,0.7658569395296674,0.6507597107556687,0.7085955405832294,0.3333333333333333,EXPLORATORY
2020-02-10,a,0.6666666666666666,0.6666666666666666,0.0,0.2,0.89477153690717,0.7559381227281463,0.15109607614614887,0.6952481708048116,0.6153783168495935,0.6208514907202539,0.3333333333333333,EXPLORATORY
2020-02-17,a,0.6666666666666666,0.6666666666666666,0.0,0.2,0.8723392582781062,0.7517154326991421,0.15356620019950748,0.6546840807462773,0.5578918118123839,0.6239255404235564,0.3333333333333333,EXPLORATORY
2020-02-24,a,0.6666666666666666,0.6666666666666666,0.0,0.3,0.9007119737387269,0.7635289015072587,0.14983980944653222,0.6350463440941022,0.6552170091296291,0.6083350263908177,0.3333333333333333,EXPLORATORY
2020-03-02,a,0.6666666666666666,0.6666666666666666,0.0,0.2,0.8788637574037125,0.7631216724563066,0.14482348197919986,0.6092445478189024,0.5688575184795808,0.5838524531036131,0.0,EXPLORATORY
2020-03-09,a,0.6666666666666666,0.6666666666666666,0.0,0.4,0.9205725836688662,0.776202206954664,0.15332332281727903,0.6390455699249302,0.7374452699922677,0.7336836090385287,0.3333333333333333,EXPLORATORY
2020-03-16,a,0.0,0.0,0.0,0.2,0.8440509316162188,0.7794512921686257,0.15349509812921572,0.42894264941549903,0.536253106247248,0.5975079025466324,0.0,EXPLORATORY
2020-03-23,a,0.0,0.0,0.0,0.3,0.8718434181570685,0.7807565080232942,0.13669161485719675,0.4090405953952735,0.6312354181089177,0.6777230139924595,0.0,EXPLORATORY
2020-03-30,a,1.0,0.6666666666666666,0.3333333333333333,0.3,0.9405981994915907,0.7951723536032828,0.1213988985355995,0.8766414152806649,0.7568725774329625,0.7373837353633811,0.6666666666666666,EXPLORATORY
2020-04-06,a,1.0,0.6666666666666666,0.3333333333333333,0.3,0.9570518029539876,0.8071360885482911,0.11975807917196692,0.8977189112777277,0.8149069882656768,0.7756707436455786,0.6666666666666666,EXPLORATORY
2020-04-13,a,1.0,1.0,0.6666666666666666,0.5,0.9700865827663839,0.7959369348808086,0.10945441262169338,0.9974580759100382,0.8499979603615884,0.8042636718631708,1.0,EXPLORATORY
2020-04-20,a,1.0,0.6666666666666666,0.0,0.3,0.9367377529010543,0.789142062594403,0.11411488775831696,0.8775605693279117,0.7491873116730419,0.7747757260694869,0.6666666666666666,EXPLORATORY
