design,split,metric,model_a,model_a_ci_lo,model_a_ci_hi,model_b,model_b_ci_lo,model_b_ci_hi,diff,ci_lo,ci_hi,n_origins,directional_only,verdict
walk_forward,shared_noncovid,wmape,0.1536126020881297,0.14663164943974577,0.17276638586398838,0.1536126020881297,0.14663164943974577,0.17276638586398838,0.0,0.0,0.0,5,true,no_difference
walk_forward,shared_covid,hit_at_3_in_top20,0.7619047619047619,0.7619047619047619,0.9523809523809523,0.6666666666666666,0.5714285714285714,0.8571428571428571,-0.09523809523809525,-0.2857142857142857,0.04761904761904762,7,true,no_difference
walk_forward,shared_covid,hit_at_3_in_top10,0.5238095238095238,0.47619047619047616,0.7619047619047619,0.42857142857142855,0.4285714285714285,0.6666666666666666,-0.09523809523809525,-0.1904761904761905,0.0,7,true,no_difference
walk_forward,shared_covid,precision_at_3,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.0,0.09523809523809523,-0.047619047619047616,-0.09523809523809523,0.0,7,true,no_difference
walk_forward,shared_covid,precision_at_10,0.24285714285714285,0.21428571428571427,0.37142857142857144,0.24285714285714288,0.19999999999999998,0.3714285714285714,7.93016446160826e-18,-0.028571428571428564,1.586032892321652e-17,7,true,no_difference
walk_forward,shared_covid,ndcg_at_10,0.9226433019988337,0.9151958697349679,0.9487900070791211,0.914115112707685,0.907563821117211,0.9315115003141611,-0.00852818929114853,-0.017278506764959994,-0.0076320486177567605,7,true,covid_data_helped_directional_only
walk_forward,shared_covid,spearman_rho,0.819388045068638,0.7957262965033783,0.8416391438335687,0.7876531828999945,0.7645764454381029,0.8035755267309125,-0.03173486216864344,-0.042472795235863746,-0.028702329713240177,7,true,covid_data_helped_directional_only
walk_forward,shared_covid,wmape,0.12824860227228277,0.11945317190144418,0.14135798016649392,0.13509509140972595,0.12921178886739346,0.14769398939642933,0.006846489137443181,0.006158458379872853,0.010370658386399502,7,true,covid_data_helped_directional_only
walk_forward,shared_pooled,hit_at_3_in_top20,0.7222222222222222,0.6944444444444443,0.9166666666666666,0.6666666666666666,0.611111111111111,0.9166666666666665,-0.05555555555555556,-0.16666666666666666,0.05555555555555555,12,false,no_difference
walk_forward,shared_pooled,hit_at_3_in_top10,0.5,0.47222222222222215,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.6111111111111112,-0.05555555555555556,-0.11111111111111112,0.0,12,false,no_difference
walk_forward,shared_pooled,precision_at_3,0.05555555555555555,0.0,0.1111111111111111,0.027777777777777776,0.0,0.08333333333333333,-0.027777777777777776,-0.08333333333333333,0.0,12,false,no_difference
walk_forward,shared_pooled,precision_at_10,0.2583333333333333,0.24166666666666667,0.3499999999999999,0.2583333333333333,0.23333333333333336,0.3416666666666666,4.625929269271485e-18,-0.016666666666666663,9.25185853854297e-18,12,false,no_difference
walk_forward,shared_pooled,ndcg_at_10,0.9000615196270797,0.8777865703841995,0.9352927194267101,0.8950867425405766,0.8738097027548323,0.9239622279760372,-0.0049747770865033085,-0.014081435589850875,0.0,12,false,no_difference
walk_forward,shared_pooled,spearman_rho,0.803225533719818,0.7877830141592176,0.8300223280447954,0.7847135307881093,0.7710477189636705,0.8098190558817663,-0.01851200293170867,-0.03843629003306804,0.0,12,false,no_difference
walk_forward,shared_pooled,wmape,0.13881693552888563,0.12421402108121209,0.1514196972263927,0.14281072085906085,0.1303068266428275,0.15478890903121298,0.003993785330175189,0.0,0.009242904640794808,12,false,no_difference
frozen_in_sample,shared_noncovid,hit_at_3_in_top20,0.7333333333333333,0.6,0.7333333333333333,0.7333333333333333,0.6,0.7333333333333333,0.0,0.0,0.0,5,true,no_difference
frozen_in_sample,shared_noncovid,hit_at_3_in_top10,0.5333333333333333,0.3333333333333333,0.5333333333333333,0.5333333333333333,0.4,0.5333333333333333,0.0,0.0,0.06666666666666668,5,true,no_difference
frozen_in_sample,shared_noncovid,precision_at_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,true,no_difference
frozen_in_sample,shared_noncovid,precision_at_10,0.3,0.26,0.3,0.34,0.3,0.36,0.04,0.04,0.06,5,true,covid_data_hurt_in_sample_only
frozen_in_sample,shared_noncovid,ndcg_at_10,0.9126470264457811,0.8974941244608596,0.9237341034455229,0.9257252858654225,0.9145889489240865,0.9346599765716809,0.013078259419641225,0.010925873126157847,0.017094824463227055,5,true,covid_data_hurt_in_sample_only
frozen_in_sample,shared_noncovid,spearman_rho,0.8666483914960764,0.8590448520586925,0.8695617637260922,0.8812261690212774,0.879347123315313,0.8831852330623324,0.014577777525200886,0.013623469336240257,0.020302271256620364,5,true,covid_data_hurt_in_sample_only
frozen_in_sample,shared_noncovid,wmape,0.11623928756886495,0.11623928756886497,0.12314291907324626,0.11165529308319859,0.11165529308319859,0.11767763897707924,-0.004583994485666365,-0.005605075899426623,-0.004444198682406764,5,true,covid_data_hurt_in_sample_only
